ID,Date,SalePrice,PropertyID,PropertyType,Bedrooms,Bathrooms,SqFtTotLiving,SqFtLot,YrBuilt,ZipCode
26353,11/27/12,716831,9526550170,Single Family,5,3.5,3470,5326,2012,-1
22594,1/30/07,439900,8078100090,Single Family,4,2.5,2250,9988,1992,98031
10916,3/9/10,415000,3330501975,Single Family,5,2,2040,6180,1908,98118
11555,6/25/08,1050000,3459900305,Single Family,4,3.25,3520,19354,1978,98006
19360,9/24/08,777990,7203101030,Single Family,4,2.5,3610,5958,2008,98053
15582,7/25/06,465000,5113400050,Single Family,2,1.75,2020,4945,1927,98119
3152,10/13/06,450000,1222069094,Single Family,3,1.75,1350,155073,1969,98038
4759,3/20/07,220000,1656500585,Single Family,3,1,1300,13200,1935,98059
26660,6/5/08,500000,9551202210,Single Family,2,1,1380,2963,1923,98103
18533,5/12/06,420000,6806100510,Single Family,4,2.5,3150,4751,2005,98058
18000,4/25/07,1278000,6600000190,Single Family,4,4,4430,7250,1983,98112
20357,2/8/06,524000,7512500027,Single Family,4,3.5,2600,7650,1999,98125
9414,7/12/12,771990,2895730070,Single Family,4,2.75,3730,8014,2012,-1
12297,2/8/06,735929,3630160190,Single Family,4,3.25,3660,5000,2006,-1
17153,7/14/13,558000,6079500215,Single Family,2,1.75,1340,6400,1942,98105
15623,2/25/08,559950,5126310900,Single Family,4,2.5,2830,7252,2007,-1
9802,7/20/10,305000,3034200410,Single Family,3,1,940,12521,1949,98133
18612,9/30/14,549000,6821101731,Townhouse,3,2.25,1230,1380,2013,-1
20961,6/19/06,451000,7696300100,Single Family,4,2,1420,7526,1973,98034
24588,10/23/06,249800,8864000895,Single Family,3,1,890,7500,1944,98168
23971,11/14/12,675346,8682310220,Single Family,2,2.5,2170,6750,2012,98053
24731,4/6/11,249995,8943600360,Single Family,3,2.25,1350,3582,2010,-1
15902,9/22/06,2410000,5316100260,Single Family,3,3,3510,3600,2003,98112
6852,1/10/08,374000,2235000140,Single Family,3,1,1500,5000,1932,98126
18188,7/16/09,535000,6649900213,Single Family,4,3.5,2910,7387,2000,98177
8521,4/23/07,385000,2767600246,Single Family,2,1,1110,3282,1904,98117
15978,3/21/11,820000,5364200040,Single Family,4,2.75,3070,5000,1941,98105
8715,4/11/07,550000,2768300715,Townhouse,3,2.25,1640,2401,2011,-1
18851,7/24/07,514450,6979970130,Single Family,3,3.5,2390,3122,2007,98072
20457,5/21/09,220000,7520000330,Single Family,4,2.5,1690,7460,1997,98146
11671,3/19/07,562000,3529000150,Single Family,4,2.5,2250,6929,1989,98029
19323,1/28/08,863950,7202360240,Single Family,4,2.75,3920,7771,2005,98053
25210,4/22/13,351000,9264030010,Single Family,3,2.5,2510,8965,2002,98001
651,8/23/06,362835,255550070,Single Family,4,3,1930,3031,2006,-1
9454,3/28/06,529000,2902200241,Townhouse,3,2.25,1300,907,2006,-1
12813,12/30/13,398095,3814900110,Single Family,4,2.5,2886,5000,2014,-1
11688,5/2/06,206500,3530430050,Single Family,2,1,970,2497,1974,98198
8887,11/8/06,380000,2771101921,Townhouse,2,1.5,1000,1251,2006,-1
2504,10/10/06,319550,993002193,Townhouse,3,2.25,1430,1415,1999,98103
7301,3/15/07,719500,2409500505,Single Family,4,2.5,2180,5350,1963,98115
19356,6/22/11,670000,7203100720,Single Family,4,2.75,3324,6206,2011,98053
8519,3/29/11,294700,2767600171,Single Family,2,1.5,1010,1968,1906,98107
19316,8/17/10,395000,7202350060,Single Family,3,2.5,1690,2890,2004,98053
20936,9/14/07,543000,7694800110,Single Family,3,2.5,1900,2527,2007,98052
26837,11/3/06,465000,9826701345,Single Family,3,2.5,1620,2640,1900,98122
26154,11/30/07,395000,9485750240,Single Family,3,2.5,2310,4930,1989,98055
11338,2/12/07,575000,3416600852,Single Family,4,2.25,2860,4300,1907,98144
6542,6/29/09,295000,2132200260,Single Family,3,2,1290,7580,1985,98019
8838,8/1/06,332500,2770602489,Townhouse,3,2,1205,945,2000,98199
13830,8/20/07,370000,4048400185,Single Family,2,0.75,760,33801,1931,98059
1343,2/8/13,742000,518500610,Townhouse,3,2.75,2670,3738,2013,-1
24968,4/29/15,438000,9141100255,Single Family,4,2.25,1950,29347,1953,98133
8789,7/19/12,368000,2770601461,Townhouse,3,2.5,1810,1988,1997,98199
4585,11/19/07,316000,1591600238,Single Family,4,2.25,1950,7931,1967,98146
15267,3/31/06,295000,5095400820,Single Family,3,2.75,1940,16200,1977,98059
26689,11/15/07,414950,9558010150,Single Family,3,2.5,1920,5920,2003,98058
1676,4/20/06,306000,646910200,Townhouse,4,2.5,1460,1875,2004,98055
9427,5/5/09,490000,2896310160,Single Family,4,2.5,3190,27806,1997,98010
7183,5/3/10,435000,2346800005,Single Family,3,1.5,1710,8364,1944,98136
10853,8/26/13,1075000,3323500015,Single Family,5,5.25,6180,22284,2015,-1
7794,9/20/06,257500,2522059120,Single Family,3,1.75,1070,10018,1959,98042
17428,6/3/10,310000,6163901170,Single Family,5,1.75,2140,7213,1955,98155
26519,2/17/11,279995,9542840220,Single Family,4,2.5,2150,4927,2011,-1
14388,7/23/07,1550000,4218400650,Single Family,4,3.25,3640,5500,1940,98105
3636,4/11/07,425000,1324300126,Townhouse,2,2.5,1160,1219,2007,-1
24182,4/28/11,182500,8731730610,Single Family,4,1,1330,8148,1976,98031
17982,5/26/06,320000,6450303280,Single Family,2,1,870,5460,1952,98133
8989,1/5/06,257950,2781250590,Townhouse,2,2.5,1360,2738,2003,98038
13974,6/14/07,499000,4083306175,Single Family,3,1.75,1080,3200,1926,98103
25698,3/2/06,262500,9357000580,Single Family,2,1,900,5000,1941,98146
19975,1/5/07,629950,7330800090,Single Family,3,2.5,3370,22086,2006,98092
11237,5/15/06,411000,3379000010,Single Family,3,2.25,1810,8560,1964,98052
2823,7/18/07,414000,1112000140,Single Family,3,2,1830,5000,1917,98118
3690,1/9/13,346995,1329300100,Single Family,5,2.75,2880,6498,2012,98030
25906,5/17/07,370000,9407110180,Single Family,3,1.75,1440,14615,1981,98045
15590,12/10/13,330000,5116000170,Single Family,3,2.5,1300,10484,1983,98028
24636,12/3/09,289000,8899200240,Single Family,4,2.75,1970,7600,1974,98055
18829,6/19/06,307000,6929601870,Single Family,3,1.75,1350,7750,1979,98198
916,5/16/07,314500,322059094,Single Family,3,2,1390,13500,1960,98042
13824,8/11/14,289275,4047200135,Single Family,3,2,2860,24046,1985,98019
15025,2/13/08,388621,4443801250,Single Family,2,1,830,3880,1918,98117
9265,8/1/07,255000,2868900020,Single Family,3,1.5,1010,10125,1972,98042
16172,1/31/07,844900,5418650220,Single Family,4,2.25,3650,10588,1988,98027
13844,10/24/06,369950,4053200978,Single Family,3,2.25,2870,24037,1978,98042
26162,6/20/11,250000,9485910220,Single Family,3,2.5,1870,42000,1977,98042
2017,10/2/12,1625000,824059185,Single Family,5,3.75,4140,21876,1998,98040
2104,6/1/09,595000,856000681,Single Family,2,1.5,1000,7000,1938,98033
12539,6/22/10,320000,3726800335,Single Family,2,1,1120,3600,1922,98144
2034,3/20/07,835000,825059314,Single Family,4,3.25,3000,8504,1987,98033
20826,9/12/07,410000,7635801024,Single Family,3,1,1220,7500,1955,98166
22935,4/17/13,310000,8123700020,Single Family,3,1.5,1140,9800,1960,98028
23596,6/9/08,435000,8651720420,Single Family,4,2.5,1930,8040,1978,98034
9702,12/18/12,450000,2997800082,Townhouse,3,2.75,1490,1176,2005,98116
19262,10/12/06,532000,7202270690,Single Family,3,2.5,2320,4500,2001,98053
21307,10/1/07,750000,7846200070,Single Family,3,2.5,3370,14402,2004,98045
13456,7/25/12,359000,3913400010,Single Family,3,3,3240,20964,1981,98042
22585,10/9/08,465000,8077200390,Single Family,4,2.5,2340,7245,1987,98074
17869,2/22/08,327000,6412100051,Single Family,2,1,830,8820,1947,98125
2992,10/3/06,344950,1139000091,Townhouse,2,1.75,1330,1097,2002,98133
8945,9/13/06,384950,2776600074,Townhouse,3,3.5,1522,1255,2006,-1
